"LOT_QTY","QC_QTY","ITEM_TYPE","ITEM_QC_TYPE","QC_TYPE","WORK_ORDER_QTY","WORK_WORKER","QC_MONTH","QC_WEEKDAY","INSPECTION_RISK_SCORE","SUMMER_FLAG","WINTER_FLAG","RISK_LEVEL"
90475,905,20,20,20,90475,EMP1045,"05","5",2,0,0,LOW
61950,620,20,20,20,61950,EMP1045,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
62212,622,20,20,20,62212,EMP1045,"05","5",2,0,0,LOW
84175,842,20,20,20,84175,EMP1045,"05","5",2,0,0,LOW
11891,11891,20,10,10,11891,EMP1045,"05","5",3,0,0,LOW
8142,8142,20,10,10,8142,EMP1045,"05","5",3,0,0,LOW
8176,8176,20,10,10,8176,EMP1045,"05","6",3,0,0,HIGH
11063,11063,20,10,10,11063,EMP1045,"05","5",3,0,0,LOW
11167,11167,20,10,10,11167,EMP1045,"05","5",3,0,0,LOW
84350,844,20,20,20,84350,EMP1043,"05","2",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","1",2,0,0,LOW
77525,775,20,20,20,77525,EMP1043,"05","2",2,0,0,LOW
13489,13489,20,10,10,13489,EMP1043,"05","2",3,0,0,LOW
10430,10430,20,10,10,10430,EMP1043,"05","3",3,0,0,LOW
11086,11086,20,10,10,11086,EMP1043,"05","3",3,0,0,LOW
10189,10189,20,10,10,10189,EMP1043,"05","2",3,0,0,LOW
12668,12668,20,10,10,12668,EMP1043,"05","2",3,0,0,LOW
9795,9795,20,10,10,9795,EMP1043,"05","3",5,0,0,LOW
10411,10411,20,10,10,10411,EMP1043,"05","2",3,0,0,LOW
9568,9568,20,10,10,9568,EMP1043,"05","2",3,0,0,LOW
1173,1173,30,10,10,1173,EMP1043,"05","3",1,0,0,LOW
907,907,30,10,10,907,EMP1043,"05","3",1,0,0,LOW
964,964,30,10,10,964,EMP1043,"05","2",1,0,0,LOW
886,886,30,10,10,886,EMP1043,"05","3",1,0,0,LOW
49125,49125,20,10,10,49125,EMP1042,"05","3",3,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
102640,1026,20,20,20,102640,EMP1042,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
79365,794,20,20,20,79365,EMP1042,"05","3",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","2",2,0,0,LOW
84350,844,20,20,20,84350,EMP1042,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
77525,775,20,20,20,77525,EMP1042,"05","3",2,0,0,LOW
13492,13492,20,10,10,13492,EMP1042,"05","4",3,0,0,LOW
10433,10433,20,10,10,10433,EMP1042,"05","4",3,0,0,LOW
11086,11086,20,10,10,11086,EMP1042,"05","3",3,0,0,LOW
10189,10189,20,10,10,10189,EMP1042,"05","3",3,0,0,LOW
12671,12671,20,10,10,12671,EMP1042,"05","4",3,0,0,LOW
9799,9799,20,10,10,9799,EMP1042,"05","3",3,0,0,LOW
10413,10413,20,10,10,10413,EMP1042,"05","4",3,0,0,LOW
9573,9573,20,10,10,9573,EMP1042,"05","3",3,0,0,LOW
1173,1173,30,10,10,1173,EMP1042,"05","4",1,0,0,LOW
907,907,30,10,10,907,EMP1042,"05","4",1,0,0,LOW
964,964,30,10,10,964,EMP1042,"05","3",1,0,0,LOW
886,886,30,10,10,886,EMP1042,"05","3",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","4",2,0,0,LOW
1173,1173,30,10,10,1173,EMP1059,"05","6",1,0,0,LOW
907,907,30,10,10,907,EMP1059,"05","7",1,0,0,LOW
964,964,30,10,10,964,EMP1059,"05","7",1,0,0,LOW
886,886,30,10,10,886,EMP1059,"05","6",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","7",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","7",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","7",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","7",2,0,0,LOW
49125,49125,20,10,10,49125,EMP1046,"05","7",3,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","6",2,0,0,LOW
102637,1026,20,20,20,102637,EMP1046,"05","7",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","6",2,0,0,LOW
79362,794,20,20,20,79362,EMP1046,"05","7",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","6",2,0,0,LOW
84350,844,20,20,20,84350,EMP1046,"05","7",2,0,0,LOW
77525,775,20,20,20,77525,EMP1046,"05","7",2,0,0,LOW
13489,13489,20,10,10,13489,EMP1046,"05","7",3,0,0,LOW
10430,10430,20,10,10,10430,EMP1046,"05","7",3,0,0,LOW
11086,11086,20,10,10,11086,EMP1046,"05","1",5,0,0,LOW
10189,10189,20,10,10,10189,EMP1046,"05","7",3,0,0,LOW
12668,12668,20,10,10,12668,EMP1046,"05","7",3,0,0,LOW
9795,9795,20,10,10,9795,EMP1046,"05","7",3,0,0,LOW
10411,10411,20,10,10,10411,EMP1046,"05","7",3,0,0,LOW
9568,9568,20,10,10,9568,EMP1046,"05","7",3,0,0,LOW
1173,1173,30,10,10,1173,EMP1046,"05","1",1,0,0,LOW
907,907,30,10,10,907,EMP1046,"05","1",3,0,0,HIGH
964,964,30,10,10,964,EMP1046,"05","1",1,0,0,LOW
886,886,30,10,10,886,EMP1046,"05","1",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","2",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","2",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","2",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","2",2,0,0,LOW
49125,49125,20,10,10,49125,EMP1043,"05","2",3,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","1",2,0,0,LOW
102637,1026,20,20,20,102637,EMP1043,"05","2",2,0,0,LOW
79362,794,20,20,20,79362,EMP1043,"05","2",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","7",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","1",2,0,0,LOW
102637,1026,20,20,20,102637,EMP1021,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
79362,794,20,20,20,79362,EMP1021,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
84350,844,20,20,20,84350,EMP1021,"05","5",2,0,0,LOW
1000000,10000,10,20,20,0,NONE,"05","4",2,0,0,LOW
77525,775,20,20,20,77525,EMP1021,"05","5",2,0,0,LOW
13489,13489,20,10,10,13489,EMP1021,"05","5",3,0,0,LOW
10430,10430,20,10,10,10430,EMP1021,"05","5",3,0,0,LOW
11086,11086,20,10,10,11086,EMP1021,"05","6",3,0,0,LOW
10189,10189,20,10,10,10189,EMP1021,"05","5",3,0,0,HIGH
12668,12668,20,10,10,12668,EMP1021,"05","5",3,0,0,LOW
9795,9795,20,10,10,9795,EMP1021,"05","5",3,0,0,MEDIUM
10411,10411,20,10,10,10411,EMP1021,"05","6",3,0,0,LOW
9568,9568,20,10,10,9568,EMP1021,"05","5",3,0,0,LOW
1173,1173,30,10,10,1173,EMP1021,"05","6",1,0,0,LOW
907,907,30,10,10,907,EMP1021,"05","6",1,0,0,LOW
964,964,30,10,10,964,EMP1021,"05","6",1,0,0,LOW
886,886,30,10,10,886,EMP1021,"05","6",1,0,0,LOW
49125,49125,20,10,10,49125,EMP1059,"05","6",3,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
102637,1026,20,20,20,102637,EMP1059,"05","6",2,0,0,LOW
79362,794,20,20,20,79362,EMP1059,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
84350,844,20,20,20,84350,EMP1059,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
77525,775,20,20,20,77525,EMP1059,"05","6",2,0,0,LOW
13489,13489,20,10,10,13489,EMP1059,"05","6",3,0,0,LOW
10430,10430,20,10,10,10430,EMP1059,"05","6",3,0,0,MEDIUM
11086,11086,20,10,10,11086,EMP1059,"05","6",3,0,0,LOW
10189,10189,20,10,10,10189,EMP1059,"05","6",3,0,0,LOW
12668,12668,20,10,10,12668,EMP1059,"05","6",3,0,0,LOW
9795,9795,20,10,10,9795,EMP1059,"05","7",3,0,0,MEDIUM
10411,10411,20,10,10,10411,EMP1059,"05","6",3,0,0,LOW
9568,9568,20,10,10,9568,EMP1059,"05","6",3,0,0,LOW
10544,10544,20,10,10,10544,EMP1041,"05","4",3,0,0,LOW
10132,10132,20,10,10,10132,EMP1041,"05","5",5,0,0,MEDIUM
1100,1100,30,10,10,1100,EMP1041,"05","4",1,0,0,LOW
1284,1284,30,10,10,1284,EMP1041,"05","3",1,0,0,LOW
976,976,30,10,10,976,EMP1041,"05","3",1,0,0,LOW
938,938,30,10,10,938,EMP1041,"05","4",1,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","3",2,0,0,LOW
49125,49125,20,10,10,49125,EMP1054,"05","4",3,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
102637,1026,20,20,20,102637,EMP1054,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
79362,794,20,20,20,79362,EMP1054,"05","4",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","3",2,0,0,LOW
84350,844,20,20,20,84350,EMP1054,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","3",2,0,0,LOW
77525,775,20,20,20,77525,EMP1054,"05","4",2,0,0,LOW
13489,13489,20,10,10,13489,EMP1054,"05","4",3,0,0,MEDIUM
10430,10430,20,10,10,10430,EMP1054,"05","4",3,0,0,LOW
11086,11086,20,10,10,11086,EMP1054,"05","4",3,0,0,LOW
10189,10189,20,10,10,10189,EMP1054,"05","4",3,0,0,LOW
12668,12668,20,10,10,12668,EMP1054,"05","5",3,0,0,LOW
9795,9795,20,10,10,9795,EMP1054,"05","5",3,0,0,LOW
10411,10411,20,10,10,10411,EMP1054,"05","4",3,0,0,LOW
9568,9568,20,10,10,9568,EMP1054,"05","4",3,0,0,LOW
1173,1173,30,10,10,1173,EMP1054,"05","5",1,0,0,LOW
907,907,30,10,10,907,EMP1054,"05","5",1,0,0,LOW
964,964,30,10,10,964,EMP1054,"05","5",1,0,0,LOW
886,886,30,10,10,886,EMP1054,"05","4",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","5",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","5",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","5",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","5",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","5",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","5",2,0,0,LOW
49125,49125,20,10,10,49125,EMP1021,"05","6",5,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","1",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","1",2,0,0,LOW
112350,1124,20,20,20,112350,EMP1003,"05","2",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","1",2,0,0,LOW
85400,854,20,20,20,85400,EMP1003,"05","3",4,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","1",2,0,0,LOW
82075,821,20,20,20,82075,EMP1003,"05","2",2,0,0,LOW
12650,12650,20,10,10,12650,EMP1003,"05","2",3,0,0,MEDIUM
14766,14766,20,10,10,14766,EMP1003,"05","2",3,0,0,LOW
11224,11224,20,10,10,11224,EMP1003,"05","2",3,0,0,LOW
10787,10787,20,10,10,10787,EMP1003,"05","2",3,0,0,LOW
11880,11880,20,10,10,11880,EMP1003,"05","3",3,0,0,LOW
13867,13867,20,10,10,13867,EMP1003,"05","2",3,0,0,LOW
10540,10540,20,10,10,10540,EMP1003,"05","2",3,0,0,LOW
10130,10130,20,10,10,10130,EMP1003,"05","3",3,0,0,HIGH
1100,1100,30,10,10,1100,EMP1003,"05","2",1,0,0,LOW
1284,1284,30,10,10,1284,EMP1003,"05","2",1,0,0,LOW
976,976,30,10,10,976,EMP1003,"05","2",1,0,0,LOW
938,938,30,10,10,938,EMP1003,"05","3",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","3",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","3",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","3",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","3",2,0,0,LOW
53725,53725,20,10,10,53725,EMP1041,"05","3",3,0,0,MEDIUM
96250,963,20,20,20,96250,EMP1041,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","1",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","1",2,0,0,LOW
112350,1124,20,20,20,112350,EMP1041,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
85400,854,20,20,20,85400,EMP1041,"05","3",2,0,0,LOW
82075,821,20,20,20,82075,EMP1041,"05","3",2,0,0,LOW
12650,12650,20,10,10,12650,EMP1041,"05","3",3,0,0,LOW
14766,14766,20,10,10,14766,EMP1041,"05","3",3,0,0,LOW
11224,11224,20,10,10,11224,EMP1041,"05","3",3,0,0,LOW
10787,10787,20,10,10,10787,EMP1041,"05","3",3,0,0,HIGH
11880,11880,20,10,10,11880,EMP1041,"05","3",3,0,0,LOW
13868,13868,20,10,10,13868,EMP1041,"05","4",3,0,0,MEDIUM
10130,10130,20,10,10,10130,EMP1053,"05","6",3,0,0,LOW
1100,1100,30,10,10,1100,EMP1053,"05","6",1,0,0,LOW
1284,1284,30,10,10,1284,EMP1053,"05","6",1,0,0,LOW
976,976,30,10,10,976,EMP1053,"05","6",1,0,0,LOW
938,938,30,10,10,938,EMP1053,"05","6",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","6",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","6",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","6",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","6",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","5",2,0,0,LOW
53725,53725,20,10,10,53725,EMP1051,"05","6",3,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","5",2,0,0,LOW
1000000,10000,10,20,20,0,NONE,"05","4",2,0,0,LOW
96250,963,20,20,20,96250,EMP1051,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
112350,1124,20,20,20,112350,EMP1051,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
85400,854,20,20,20,85400,EMP1051,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","5",2,0,0,LOW
82075,821,20,20,20,82075,EMP1051,"05","6",2,0,0,LOW
12650,12650,20,10,10,12650,EMP1051,"05","6",3,0,0,LOW
14766,14766,20,10,10,14766,EMP1051,"05","7",3,0,0,LOW
11224,11224,20,10,10,11224,EMP1051,"05","6",3,0,0,LOW
10787,10787,20,10,10,10787,EMP1051,"05","7",3,0,0,LOW
11880,11880,20,10,10,11880,EMP1051,"05","6",3,0,0,LOW
13867,13867,20,10,10,13867,EMP1051,"05","6",3,0,0,LOW
10540,10540,20,10,10,10540,EMP1051,"05","6",3,0,0,MEDIUM
10130,10130,20,10,10,10130,EMP1051,"05","6",3,0,0,LOW
1100,1100,30,10,10,1100,EMP1051,"05","7",3,0,0,LOW
1284,1284,30,10,10,1284,EMP1051,"05","6",1,0,0,LOW
976,976,30,10,10,976,EMP1051,"05","7",1,0,0,LOW
938,938,30,10,10,938,EMP1051,"05","6",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","1",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","1",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","1",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","1",2,0,0,LOW
53725,53725,20,10,10,53725,EMP1003,"05","2",3,0,0,LOW
96250,963,20,20,20,96250,EMP1003,"05","2",2,0,0,LOW
53725,53725,20,10,10,53725,EMP1053,"05","4",3,0,0,LOW
96250,963,20,20,20,96250,EMP1053,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","3",2,0,0,LOW
112350,1124,20,20,20,112350,EMP1053,"05","4",2,0,0,LOW
85400,854,20,20,20,85400,EMP1053,"05","4",2,0,0,LOW
82075,821,20,20,20,82075,EMP1053,"05","4",2,0,0,LOW
12650,12650,20,10,10,12650,EMP1053,"05","4",3,0,0,MEDIUM
14766,14766,20,10,10,14766,EMP1053,"05","4",3,0,0,LOW
11224,11224,20,10,10,11224,EMP1053,"05","4",3,0,0,LOW
10787,10787,20,10,10,10787,EMP1053,"05","4",3,0,0,LOW
11880,11880,20,10,10,11880,EMP1053,"05","4",3,0,0,LOW
13867,13867,20,10,10,13867,EMP1053,"05","4",3,0,0,MEDIUM
10540,10540,20,10,10,10540,EMP1053,"05","4",3,0,0,LOW
10130,10130,20,10,10,10130,EMP1053,"05","4",3,0,0,LOW
1100,1100,30,10,10,1100,EMP1053,"05","5",1,0,0,LOW
1284,1284,30,10,10,1284,EMP1053,"05","4",1,0,0,LOW
976,976,30,10,10,976,EMP1053,"05","5",1,0,0,LOW
938,938,30,10,10,938,EMP1053,"05","5",3,0,0,LOW
53725,53725,20,10,10,53725,EMP1053,"05","5",3,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","4",2,0,0,LOW
96250,963,20,20,20,96250,EMP1053,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
112350,1124,20,20,20,112350,EMP1053,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
85400,854,20,20,20,85400,EMP1053,"05","5",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
82075,821,20,20,20,82075,EMP1053,"05","5",2,0,0,LOW
12650,12650,20,10,10,12650,EMP1053,"05","5",3,0,0,LOW
14766,14766,20,10,10,14766,EMP1053,"05","5",3,0,0,LOW
11224,11224,20,10,10,11224,EMP1053,"05","6",3,0,0,LOW
10787,10787,20,10,10,10787,EMP1053,"05","5",3,0,0,LOW
11880,11880,20,10,10,11880,EMP1053,"05","5",3,0,0,LOW
13867,13867,20,10,10,13867,EMP1053,"05","5",3,0,0,LOW
10540,10540,20,10,10,10540,EMP1053,"05","6",3,0,0,LOW
10614,10614,20,10,10,10614,EMP1055,"05","2",3,0,0,LOW
9832,9832,20,10,10,9832,EMP1055,"05","2",3,0,0,LOW
13251,13251,20,10,10,13251,EMP1055,"05","3",3,0,0,LOW
9201,9201,20,10,10,9201,EMP1055,"05","2",3,0,0,LOW
9968,9968,20,10,10,9968,EMP1055,"05","2",3,0,0,LOW
9234,9234,20,10,10,9234,EMP1055,"05","2",3,0,0,LOW
1227,1227,30,10,10,1227,EMP1055,"05","3",1,0,0,LOW
852,852,30,10,10,852,EMP1055,"05","3",1,0,0,LOW
923,923,30,10,10,923,EMP1055,"05","3",1,0,0,LOW
855,855,30,10,10,855,EMP1055,"05","3",1,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","2",2,0,0,LOW
48215,48215,20,10,10,48215,EMP1007,"05","3",3,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
107365,1074,20,20,20,107365,EMP1007,"05","3",2,0,0,LOW
74550,746,20,20,20,74550,EMP1007,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
80765,808,20,20,20,80765,EMP1007,"05","3",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","2",2,0,0,LOW
74815,748,20,20,20,74815,EMP1007,"05","3",2,0,0,LOW
14113,14113,20,10,10,14113,EMP1007,"05","3",3,0,0,LOW
9798,9798,20,10,10,9798,EMP1007,"05","4",3,0,0,MEDIUM
10617,10617,20,10,10,10617,EMP1007,"05","3",3,0,0,LOW
9835,9835,20,10,10,9835,EMP1007,"05","3",3,0,0,LOW
13255,13255,20,10,10,13255,EMP1007,"05","4",3,0,0,LOW
9205,9205,20,10,10,9205,EMP1007,"05","3",3,0,0,LOW
9971,9971,20,10,10,9971,EMP1007,"05","3",3,0,0,LOW
9234,9234,20,10,10,9234,EMP1007,"05","4",3,0,0,LOW
1227,1227,30,10,10,1227,EMP1007,"05","4",1,0,0,LOW
852,852,30,10,10,852,EMP1007,"05","4",1,0,0,LOW
923,923,30,10,10,923,EMP1007,"05","4",1,0,0,LOW
855,855,30,10,10,855,EMP1007,"05","3",1,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","4",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","4",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","4",2,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","4",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","4",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","3",2,0,0,LOW
250000,2500,10,20,20,0,NONE,"05","7",4,0,0,LOW
300000,3000,10,20,20,0,NONE,"05","7",2,0,0,LOW
48212,48212,20,10,10,48212,EMP1003,"05","7",3,0,0,LOW
107362,1074,20,20,20,107362,EMP1003,"05","7",2,0,0,LOW
74550,746,20,20,20,74550,EMP1003,"05","7",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","6",2,0,0,LOW
500000,5000,10,20,20,0,NONE,"05","6",2,0,0,LOW
1500000,15000,10,20,20,0,NONE,"05","5",2,0,0,LOW
80762,808,20,20,20,80762,EMP1003,"05","7",2,0,0,LOW
74812,748,20,20,20,74812,EMP1003,"05","1",4,0,0,HIGH
14110,14110,20,10,10,14110,EMP1003,"05","7",3,0,0,LOW
9798,9798,20,10,10,9798,EMP1003,"05","1",3,0,0,LOW
10614,10614,20,10,10,10614,EMP1003,"05","7",3,0,0,HIGH
9832,9832,20,10,10,9832,EMP1003,"05","7",3,0,0,LOW
13251,13251,20,10,10,13251,EMP1003,"05","1",5,0,0,LOW
9201,9201,20,10,10,9201,EMP1003,"05","7",3,0,0,MEDIUM
9968,9968,20,10,10,9968,EMP1003,"05","7",3,0,0,LOW
9234,9234,20,10,10,9234,EMP1003,"05","1",3,0,0,LOW
1227,1227,30,10,10,1227,EMP1003,"05","1",1,0,0,LOW
852,852,30,10,10,852,EMP1003,"05","7",1,0,0,LOW
923,923,30,10,10,923,EMP1003,"05","1",1,0,0,LOW
