"IO_TYPE","IO_REASON","IO_QTY","LOT_QTY","LOT_FQTY","ITEM_TYPE","ITEM_UNIT_PRICE","STOCK_PREV_QTY","STOCK_AVAIL_QTY","STOCK_RESERVE_QTY","RESERVE_RATE","IO_MONTH","IO_WEEKDAY","RISK_LEVEL"
OUT,판매,758,885,0,30,4950,43776,36605,7171,16.38,"05","1",LOW
IN,생산,885,885,0,30,4950,43776,36605,7171,16.38,"05","1",LOW
OUT,폐기,127,885,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,947,1089,0,30,4950,41184,32896,8288,20.12,"05","1",LOW
IN,생산,1089,1089,0,30,4950,41184,32896,8288,20.12,"05","1",LOW
OUT,폐기,142,1089,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,957,1114,0,30,5650,43301,35882,7419,17.13,"05","1",LOW
IN,생산,1114,1114,0,30,5650,43301,35882,7419,17.13,"05","1",LOW
OUT,폐기,157,1114,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,691,776,0,30,6350,42284,36873,5411,12.8,"05","2",LOW
IN,생산,776,776,0,30,6350,42284,36873,5411,12.8,"05","1",LOW
OUT,폐기,85,776,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","1",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","1",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","1",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","1",WARNING
IN,생산,48300,48300,0,20,35,229143,194551,34592,15.1,"05","2",WARNING
IN,생산,77437,77437,0,20,60,263480,248999,14481,5.5,"05","2",WARNING
IN,생산,95287,95287,0,20,60,230524,211757,18767,8.14,"05","2",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","1",LOW
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"05","1",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","1",WARNING
IN,생산,97475,97475,0,20,70,226216,187441,38775,17.14,"05","2",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","7",LOW
IN,생산,67900,67900,0,20,80,221564,175756,45808,20.67,"05","2",WARNING
IN,생산,10177,10177,0,20,455,20794,17520,3274,15.74,"05","3",WARNING
IN,생산,12523,12523,0,20,455,21710,17156,4554,20.98,"05","2",WARNING
IN,생산,12811,12811,0,20,525,17850,16105,1745,9.78,"05","3",WARNING
IN,생산,8924,8924,0,20,595,17167,15292,1875,10.92,"05","3",WARNING
IN,생산,9558,9558,0,20,475,450470,374442,76028,16.88,"05","3",LOW
IN,생산,11761,11761,0,20,475,442526,344750,97776,22.09,"05","3",LOW
IN,생산,12031,12031,0,20,545,430346,328042,102304,23.77,"05","3",LOW
IN,생산,8104,8380,0,20,615,440790,367894,72896,16.54,"05","3",LOW
OUT,판매,717,885,0,30,4950,43776,36605,7171,16.38,"05","5",LOW
IN,생산,885,885,0,30,4950,43776,36605,7171,16.38,"05","3",LOW
OUT,폐기,168,885,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,975,1089,0,30,4950,41184,32896,8288,20.12,"05","6",LOW
IN,생산,1089,1089,0,30,4950,41184,32896,8288,20.12,"05","3",LOW
OUT,폐기,114,1089,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,911,1114,0,30,5650,43301,35882,7419,17.13,"05","5",LOW
IN,생산,1114,1114,0,30,5650,43301,35882,7419,17.13,"05","3",LOW
OUT,폐기,203,1114,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,632,776,0,30,6350,42284,36873,5411,12.8,"05","3",LOW
IN,생산,776,776,0,30,6350,42284,36873,5411,12.8,"05","3",LOW
OUT,폐기,144,776,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","3",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","3",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","3",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","3",WARNING
IN,구매,1000000,1000000,0,10,1,406612,365147,41465,10.2,"05","2",LOW
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"05","1",LOW
IN,생산,47494,48300,0,20,35,229143,194551,34592,15.1,"05","3",WARNING
IN,생산,77440,77440,0,20,60,263480,248999,14481,5.5,"05","3",WARNING
IN,생산,8647,8924,0,20,595,17167,15292,1875,10.92,"05","5",WARNING
IN,생산,9365,9558,0,20,475,450470,374442,76028,16.88,"05","6",LOW
IN,생산,11761,11761,0,20,475,442526,344750,97776,22.09,"05","6",LOW
IN,생산,12031,12031,0,20,545,430346,328042,102304,23.77,"05","6",LOW
IN,생산,8380,8380,0,20,615,440790,367894,72896,16.54,"05","6",LOW
OUT,판매,724,885,0,30,4950,43776,36605,7171,16.38,"05","7",LOW
IN,생산,885,885,0,30,4950,43776,36605,7171,16.38,"05","6",LOW
OUT,폐기,161,885,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,959,1089,0,30,4950,41184,32896,8288,20.12,"05","6",LOW
IN,생산,1089,1089,0,30,4950,41184,32896,8288,20.12,"05","6",LOW
OUT,폐기,130,1089,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,964,1114,0,30,5650,43301,35882,7419,17.13,"05","6",LOW
IN,생산,1114,1114,0,30,5650,43301,35882,7419,17.13,"05","6",LOW
OUT,폐기,150,1114,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,633,776,0,30,6350,42284,36873,5411,12.8,"05","2",LOW
IN,생산,776,776,0,30,6350,42284,36873,5411,12.8,"05","6",LOW
OUT,폐기,143,776,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","6",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","6",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","6",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","6",WARNING
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"05","4",LOW
IN,생산,48300,48300,0,20,35,229143,194551,34592,15.1,"05","6",WARNING
IN,생산,77437,77437,0,20,60,263480,248999,14481,5.5,"05","6",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","5",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","4",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","4",LOW
IN,생산,95287,95287,0,20,60,230524,211757,18767,8.14,"05","6",WARNING
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","4",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","4",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","4",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","4",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"05","4",LOW
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","4",LOW
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"05","4",LOW
IN,구매,1000000,1000000,0,10,1,406612,365147,41465,10.2,"05","4",LOW
IN,구매,500000,500000,0,40,80,7847792,6422197,1425595,18.17,"05","4",LOW
IN,구매,500000,500000,0,40,80,7859902,7235757,624145,7.94,"05","4",LOW
IN,구매,400000,400000,0,40,90,6198412,5001757,1196655,19.31,"05","4",LOW
IN,구매,400000,400000,0,40,100,6215619,4708269,1507350,24.25,"05","4",LOW
IN,구매,30000,30000,30000,40,500,506195,385660,120535,23.81,"05","4",LOW
IN,구매,500,500,500,40,2000,6500,4946,1554,23.91,"05","4",LOW
IN,구매,500000,500000,0,40,2,5983102,5642447,340655,5.69,"05","4",LOW
OUT,폐기,500000,500000,0,40,2,5983102,5642447,340655,5.69,"05","2",HIGH
IN,구매,500000,500000,0,40,1,5979519,5344231,635288,10.62,"05","4",LOW
OUT,폐기,500000,500000,0,40,1,5979519,5344231,635288,10.62,"05","2",HIGH
IN,생산,48300,48300,0,20,35,229143,194551,34592,15.1,"05","4",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"04","3",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"04","2",WARNING
IN,생산,77437,77437,0,20,60,263480,248999,14481,5.5,"05","4",WARNING
IN,구매,500000,500000,0,10,6,673811,609813,63998,9.5,"04","3",LOW
IN,생산,95287,95287,0,20,60,230524,211757,18767,8.14,"05","4",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"04","2",LOW
IN,생산,97475,97475,0,20,70,226216,187441,38775,17.14,"05","4",WARNING
IN,구매,500000,500000,0,10,12,336958,269808,67150,19.93,"04","2",LOW
IN,생산,67900,67900,0,20,80,221564,175756,45808,20.67,"05","4",WARNING
IN,생산,10177,10177,0,20,455,20794,17520,3274,15.74,"05","5",WARNING
IN,생산,12523,12523,0,20,455,21710,17156,4554,20.98,"05","5",WARNING
IN,생산,12811,12811,0,20,525,17850,16105,1745,9.78,"05","5",WARNING
IN,생산,8924,8924,0,20,595,17167,15292,1875,10.92,"05","4",WARNING
IN,생산,9558,9558,0,20,475,450470,374442,76028,16.88,"05","5",LOW
IN,생산,11761,11761,0,20,475,442526,344750,97776,22.09,"05","5",LOW
IN,생산,12031,12031,0,20,545,430346,328042,102304,23.77,"05","5",LOW
IN,생산,8236,8380,0,20,615,440790,367894,72896,16.54,"05","5",LOW
OUT,판매,778,885,0,30,4950,43776,36605,7171,16.38,"05","4",LOW
IN,생산,885,885,0,30,4950,43776,36605,7171,16.38,"05","5",LOW
OUT,폐기,107,885,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,971,1089,0,30,4950,41184,32896,8288,20.12,"05","7",LOW
IN,생산,1089,1089,0,30,4950,41184,32896,8288,20.12,"05","5",LOW
OUT,폐기,118,1089,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,928,1114,0,30,5650,43301,35882,7419,17.13,"05","1",LOW
IN,생산,1114,1114,0,30,5650,43301,35882,7419,17.13,"05","5",LOW
OUT,폐기,186,1114,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,626,776,0,30,6350,42284,36873,5411,12.8,"05","7",LOW
IN,생산,776,776,0,30,6350,42284,36873,5411,12.8,"05","5",LOW
OUT,폐기,150,776,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,생산,48300,48300,0,20,35,229143,194551,34592,15.1,"05","5",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","4",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"04","3",LOW
IN,생산,77010,77437,0,20,60,263480,248999,14481,5.5,"05","5",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"04","3",LOW
IN,생산,95133,95287,0,20,60,230524,211757,18767,8.14,"05","5",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"04","3",LOW
IN,생산,97475,97475,0,20,70,226216,187441,38775,17.14,"05","5",WARNING
IN,생산,67900,67900,0,20,80,221564,175756,45808,20.67,"05","5",WARNING
IN,생산,10177,10177,0,20,455,20794,17520,3274,15.74,"05","6",WARNING
IN,생산,12523,12523,0,20,455,21710,17156,4554,20.98,"05","6",WARNING
IN,생산,12811,12811,0,20,525,17850,16105,1745,9.78,"05","6",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","2",LOW
IN,생산,95290,95290,0,20,60,230524,211757,18767,8.14,"05","4",WARNING
IN,생산,97475,97475,0,20,70,226216,187441,38775,17.14,"05","3",WARNING
IN,생산,67900,67900,0,20,80,221564,175756,45808,20.67,"05","3",WARNING
IN,생산,10180,10180,0,20,455,20794,17520,3274,15.74,"05","4",WARNING
IN,생산,12526,12526,0,20,455,21710,17156,4554,20.98,"05","4",WARNING
IN,생산,12811,12811,0,20,525,17850,16105,1745,9.78,"05","4",WARNING
IN,생산,8924,8924,0,20,595,17167,15292,1875,10.92,"05","4",WARNING
IN,생산,9558,9558,0,20,475,450470,374442,76028,16.88,"05","4",LOW
IN,생산,11763,11763,0,20,475,442526,344750,97776,22.09,"05","4",LOW
IN,생산,12033,12033,0,20,545,430346,328042,102304,23.77,"05","4",LOW
IN,생산,8197,8385,0,20,615,440790,367894,72896,16.54,"05","4",LOW
OUT,판매,751,885,0,30,4950,43776,36605,7171,16.38,"05","7",LOW
IN,생산,885,885,0,30,4950,43776,36605,7171,16.38,"05","4",LOW
OUT,폐기,134,885,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,942,1089,0,30,4950,41184,32896,8288,20.12,"05","7",LOW
IN,생산,1089,1089,0,30,4950,41184,32896,8288,20.12,"05","4",LOW
OUT,폐기,147,1089,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,960,1114,0,30,5650,43301,35882,7419,17.13,"05","1",LOW
IN,생산,1114,1114,0,30,5650,43301,35882,7419,17.13,"05","4",LOW
OUT,폐기,154,1114,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,673,776,0,30,6350,42284,36873,5411,12.8,"05","7",LOW
IN,생산,776,776,0,30,6350,42284,36873,5411,12.8,"05","4",LOW
OUT,폐기,103,776,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"05","4",LOW
IN,생산,46100,46100,0,20,35,229143,194551,34592,15.1,"05","4",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","2",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","3",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","3",LOW
IN,생산,102462,102462,0,20,60,263480,248999,14481,5.5,"05","4",WARNING
IN,구매,500000,500000,0,10,6,673811,609813,63998,9.5,"05","3",LOW
IN,생산,83825,83825,0,20,60,230524,211757,18767,8.14,"05","4",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","3",LOW
IN,생산,62212,62212,0,20,70,226216,187441,38775,17.14,"05","4",WARNING
IN,구매,500000,500000,0,10,12,336958,269808,67150,19.93,"05","2",LOW
IN,생산,74200,74200,0,20,80,221564,175756,45808,20.67,"05","4",WARNING
IN,생산,13466,13466,0,20,455,20794,17520,3274,15.74,"05","5",WARNING
IN,생산,11017,11017,0,20,455,21710,17156,4554,20.98,"05","5",WARNING
IN,생산,8176,8176,0,20,525,17850,16105,1745,9.78,"05","4",WARNING
IN,생산,9752,9752,0,20,595,17167,15292,1875,10.92,"05","5",WARNING
IN,생산,12344,12646,0,20,475,450470,374442,76028,16.88,"05","5",LOW
IN,생산,10346,10346,0,20,475,442526,344750,97776,22.09,"05","5",LOW
IN,생산,7678,7678,0,20,545,430346,328042,102304,23.77,"05","5",LOW
IN,생산,9158,9158,0,20,615,440790,367894,72896,16.54,"05","5",LOW
OUT,판매,1013,1171,0,30,4950,43776,36605,7171,16.38,"05","4",LOW
IN,생산,1171,1171,0,30,4950,43776,36605,7171,16.38,"05","5",LOW
OUT,폐기,158,1171,0,30,4950,43776,36605,7171,16.38,"05","6",HIGH
OUT,판매,842,958,0,30,4950,41184,32896,8288,20.12,"05","5",LOW
IN,생산,958,958,0,30,4950,41184,32896,8288,20.12,"05","5",LOW
OUT,폐기,116,958,0,30,4950,41184,32896,8288,20.12,"05","6",HIGH
OUT,판매,634,711,0,30,5650,43301,35882,7419,17.13,"05","4",LOW
IN,생산,711,711,0,30,5650,43301,35882,7419,17.13,"05","5",LOW
OUT,폐기,77,711,0,30,5650,43301,35882,7419,17.13,"05","6",HIGH
OUT,판매,692,848,0,30,6350,42284,36873,5411,12.8,"05","3",LOW
IN,생산,848,848,0,30,6350,42284,36873,5411,12.8,"05","5",LOW
OUT,폐기,156,848,0,30,6350,42284,36873,5411,12.8,"05","6",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","5",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","5",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","5",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","5",WARNING
IN,생산,46100,46100,0,20,35,229143,194551,34592,15.1,"05","6",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","3",WARNING
IN,생산,102462,102462,0,20,60,263480,248999,14481,5.5,"05","5",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","3",LOW
IN,생산,81154,83825,0,20,60,230524,211757,18767,8.14,"05","6",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","3",LOW
IN,생산,62212,62212,0,20,70,226216,187441,38775,17.14,"05","5",WARNING
IN,생산,74200,74200,0,20,80,221564,175756,45808,20.67,"05","5",WARNING
IN,생산,13466,13466,0,20,455,20794,17520,3274,15.74,"05","5",WARNING
IN,생산,11017,11017,0,20,455,21710,17156,4554,20.98,"05","6",WARNING
IN,생산,8176,8176,0,20,525,17850,16105,1745,9.78,"05","6",WARNING
IN,생산,9752,9752,0,20,595,17167,15292,1875,10.92,"05","5",WARNING
IN,생산,12646,12646,0,20,475,450470,374442,76028,16.88,"05","6",LOW
IN,생산,10346,10346,0,20,475,442526,344750,97776,22.09,"05","6",LOW
IN,생산,7678,7678,0,20,545,430346,328042,102304,23.77,"05","7",LOW
IN,생산,9158,9158,0,20,615,440790,367894,72896,16.54,"05","6",LOW
OUT,판매,981,1171,0,30,4950,43776,36605,7171,16.38,"05","7",LOW
IN,생산,1171,1171,0,30,4950,43776,36605,7171,16.38,"05","6",LOW
OUT,폐기,190,1171,0,30,4950,43776,36605,7171,16.38,"05","4",HIGH
OUT,판매,823,958,0,30,4950,41184,32896,8288,20.12,"05","7",LOW
IN,생산,954,958,0,30,4950,41184,32896,8288,20.12,"05","6",LOW
OUT,폐기,131,958,0,30,4950,41184,32896,8288,20.12,"05","4",HIGH
OUT,판매,578,711,0,30,5650,43301,35882,7419,17.13,"05","7",LOW
IN,생산,694,711,0,30,5650,43301,35882,7419,17.13,"05","6",LOW
OUT,폐기,116,711,0,30,5650,43301,35882,7419,17.13,"05","4",HIGH
OUT,판매,763,848,0,30,6350,42284,36873,5411,12.8,"05","2",LOW
IN,생산,848,848,0,30,6350,42284,36873,5411,12.8,"05","6",LOW
OUT,폐기,85,848,0,30,6350,42284,36873,5411,12.8,"05","4",HIGH
IN,생산,46100,46100,0,20,35,229143,194551,34592,15.1,"05","6",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","5",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"05","4",WARNING
IN,생산,102462,102462,0,20,60,263480,248999,14481,5.5,"05","6",WARNING
IN,생산,83825,83825,0,20,60,230524,211757,18767,8.14,"05","6",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","5",LOW
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"05","4",LOW
IN,생산,74200,74200,0,20,80,221564,175756,45808,20.67,"05","6",WARNING
IN,생산,13049,13466,0,20,455,20794,17520,3274,15.74,"05","7",WARNING
IN,생산,11017,11017,0,20,455,21710,17156,4554,20.98,"05","6",WARNING
IN,생산,7970,8176,0,20,525,17850,16105,1745,9.78,"05","7",WARNING
IN,생산,9752,9752,0,20,595,17167,15292,1875,10.92,"05","7",WARNING
IN,생산,12646,12646,0,20,475,450470,374442,76028,16.88,"05","7",LOW
IN,생산,10346,10346,0,20,475,442526,344750,97776,22.09,"05","7",LOW
IN,생산,7678,7678,0,20,545,430346,328042,102304,23.77,"05","7",LOW
IN,생산,9158,9158,0,20,615,440790,367894,72896,16.54,"05","7",LOW
OUT,판매,1020,1171,0,30,4950,43776,36605,7171,16.38,"05","3",LOW
IN,생산,1171,1171,0,30,4950,43776,36605,7171,16.38,"05","7",LOW
OUT,폐기,151,1171,0,30,4950,43776,36605,7171,16.38,"05","4",HIGH
OUT,판매,778,958,0,30,4950,41184,32896,8288,20.12,"05","2",LOW
IN,생산,958,958,0,30,4950,41184,32896,8288,20.12,"05","7",LOW
OUT,폐기,180,958,0,30,4950,41184,32896,8288,20.12,"05","4",HIGH
OUT,판매,578,711,0,30,5650,43301,35882,7419,17.13,"05","1",LOW
IN,생산,711,711,0,30,5650,43301,35882,7419,17.13,"05","7",LOW
OUT,폐기,133,711,0,30,5650,43301,35882,7419,17.13,"05","4",HIGH
OUT,판매,758,848,0,30,6350,42284,36873,5411,12.8,"05","5",LOW
IN,생산,848,848,0,30,6350,42284,36873,5411,12.8,"05","7",LOW
OUT,폐기,90,848,0,30,6350,42284,36873,5411,12.8,"05","4",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","7",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","7",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","7",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","7",WARNING
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"05","2",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"05","2",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"05","2",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"05","2",WARNING
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"05","7",LOW
IN,생산,46100,46100,0,20,35,229143,194551,34592,15.1,"05","2",WARNING
IN,구매,1000000,1000000,0,10,1,406612,365147,41465,10.2,"05","7",LOW
IN,생산,102462,102462,0,20,60,263480,248999,14481,5.5,"05","2",WARNING
IN,생산,83825,83825,0,20,60,230524,211757,18767,8.14,"05","2",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"05","1",LOW
IN,생산,62212,62212,0,20,70,226216,187441,38775,17.14,"05","2",WARNING
IN,생산,74200,74200,0,20,80,221564,175756,45808,20.67,"05","2",WARNING
IN,생산,13466,13466,0,20,455,20794,17520,3274,15.74,"05","2",WARNING
IN,생산,11017,11017,0,20,455,21710,17156,4554,20.98,"05","3",WARNING
IN,생산,8176,8176,0,20,525,17850,16105,1745,9.78,"05","3",WARNING
IN,생산,9752,9752,0,20,595,17167,15292,1875,10.92,"05","3",WARNING
IN,생산,12646,12646,0,20,475,450470,374442,76028,16.88,"05","3",LOW
IN,생산,10346,10346,0,20,475,442526,344750,97776,22.09,"05","4",LOW
IN,생산,7678,7678,0,20,545,430346,328042,102304,23.77,"05","3",LOW
IN,생산,8975,9158,0,20,615,440790,367894,72896,16.54,"05","3",LOW
OUT,판매,955,1171,0,30,4950,43776,36605,7171,16.38,"05","4",LOW
IN,생산,1171,1171,0,30,4950,43776,36605,7171,16.38,"05","3",LOW
OUT,폐기,216,1171,0,30,4950,43776,36605,7171,16.38,"05","4",HIGH
OUT,판매,800,958,0,30,4950,41184,32896,8288,20.12,"05","7",LOW
IN,생산,958,958,0,30,4950,41184,32896,8288,20.12,"05","3",LOW
OUT,폐기,158,958,0,30,4950,41184,32896,8288,20.12,"05","4",HIGH
OUT,판매,588,711,0,30,5650,43301,35882,7419,17.13,"05","2",LOW
IN,생산,711,711,0,30,5650,43301,35882,7419,17.13,"05","3",LOW
OUT,폐기,123,711,0,30,5650,43301,35882,7419,17.13,"05","4",HIGH
OUT,판매,724,848,0,30,6350,42284,36873,5411,12.8,"05","5",LOW
IN,생산,848,848,0,30,6350,42284,36873,5411,12.8,"05","3",LOW
OUT,폐기,124,848,0,30,6350,42284,36873,5411,12.8,"05","4",HIGH
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"05","1",LOW
