"WORK_ORDER_QTY","WORK_PREV_QTY","WORK_STATUS","WORK_WORKER","WORK_DIRECTOR","PLAN_FIN_QTY","PLAN_WP_QTY","ITEM_TYPE","WORK_MONTH","WORK_WEEKDAY","SUMMER_FLAG","WINTER_FLAG","QTY_RISK_SCORE","SEASON_RISK_SCORE","RISK_LEVEL"
1277,1277,30,EMP1052,EMP1001,6385,6385,30,"10","6",0,0,0,0,NORMAL
48237,48237,30,EMP1043,EMP1049,241188,241188,20,"10","2",0,0,2,0,NORMAL
65712,65712,30,EMP1043,EMP1049,328563,328563,20,"10","2",0,0,2,0,NORMAL
65275,65275,30,EMP1043,EMP1049,326375,326375,20,"10","2",0,0,2,0,NORMAL
94937,94937,30,EMP1043,EMP1049,474688,474688,20,"10","2",0,0,2,0,NORMAL
111737,111737,30,EMP1043,EMP1049,558688,558688,20,"10","2",0,0,2,0,NORMAL
8636,8636,30,EMP1043,EMP1049,43183,43183,20,"10","2",0,0,2,0,NORMAL
8579,8579,30,EMP1043,EMP1049,42895,42895,20,"10","2",0,0,2,0,NORMAL
12477,12477,30,EMP1043,EMP1049,62388,62388,20,"10","2",0,0,2,0,NORMAL
14685,14685,30,EMP1043,EMP1049,73428,73428,20,"10","2",0,0,2,0,NORMAL
8110,8110,30,EMP1043,EMP1049,40554,40554,20,"10","2",0,0,2,0,NORMAL
8056,8056,30,EMP1043,EMP1049,40284,40284,20,"10","2",0,0,2,0,NORMAL
11718,11718,30,EMP1043,EMP1049,58590,58590,20,"10","2",0,0,2,0,NORMAL
13791,13791,30,EMP1043,EMP1049,68958,68958,20,"10","2",0,0,2,0,NORMAL
751,751,30,EMP1043,EMP1049,3755,3755,30,"10","2",0,0,0,0,NORMAL
746,746,30,EMP1043,EMP1049,3730,3730,30,"10","2",0,0,0,0,NORMAL
1085,1085,30,EMP1043,EMP1049,5425,5425,30,"10","2",0,0,0,0,NORMAL
1277,1277,30,EMP1043,EMP1049,6385,6385,30,"10","2",0,0,0,0,NORMAL
48240,48240,30,EMP1046,EMP1056,241188,241188,20,"10","3",0,0,2,0,NORMAL
65715,65715,30,EMP1046,EMP1056,328563,328563,20,"10","3",0,0,2,0,NORMAL
65275,65275,30,EMP1046,EMP1056,326375,326375,20,"10","3",0,0,2,0,NORMAL
94940,94940,30,EMP1046,EMP1056,474688,474688,20,"10","3",0,0,2,0,NORMAL
111740,111740,30,EMP1046,EMP1056,558688,558688,20,"10","3",0,0,2,0,NORMAL
8639,8639,30,EMP1046,EMP1056,43183,43183,20,"10","3",0,0,2,0,NORMAL
8579,8579,30,EMP1046,EMP1056,42895,42895,20,"10","3",0,0,2,0,NORMAL
12480,12480,30,EMP1046,EMP1056,62388,62388,20,"10","3",0,0,2,0,NORMAL
14688,14688,30,EMP1046,EMP1056,73428,73428,20,"10","3",0,0,2,0,NORMAL
8114,8114,30,EMP1046,EMP1056,40554,40554,20,"10","3",0,0,2,0,NORMAL
8060,8060,30,EMP1046,EMP1056,40284,40284,20,"10","3",0,0,2,0,NORMAL
11718,11718,30,EMP1046,EMP1056,58590,58590,20,"10","3",0,0,2,0,DELAY
13794,13794,30,EMP1046,EMP1056,68958,68958,20,"10","3",0,0,2,0,NORMAL
751,751,30,EMP1046,EMP1056,3755,3755,30,"10","3",0,0,0,0,NORMAL
746,746,30,EMP1046,EMP1056,3730,3730,30,"10","3",0,0,0,0,NORMAL
1085,1085,30,EMP1046,EMP1056,5425,5425,30,"10","3",0,0,0,0,NORMAL
1277,1277,30,EMP1046,EMP1056,6385,6385,30,"10","3",0,0,0,0,NORMAL
52900,52900,30,EMP1051,EMP1002,264500,264500,20,"10","4",0,0,2,0,NORMAL
102462,102462,30,EMP1051,EMP1002,512313,512313,20,"10","4",0,0,2,0,NORMAL
104387,104387,30,EMP1051,EMP1002,521938,521938,20,"10","4",0,0,2,0,NORMAL
69387,69387,30,EMP1051,EMP1002,346938,346938,20,"10","4",0,0,2,0,NORMAL
94062,94062,30,EMP1051,EMP1002,470313,470313,20,"10","4",0,0,2,0,NORMAL
13466,13466,30,EMP1051,EMP1002,67333,67333,20,"10","4",0,0,2,0,NORMAL
13719,13719,30,EMP1051,EMP1002,68598,68598,20,"10","4",0,0,2,0,NORMAL
9119,9119,30,EMP1051,EMP1002,45598,45598,20,"10","4",0,0,2,0,NORMAL
12362,12362,30,EMP1051,EMP1002,61813,61813,20,"10","4",0,0,2,0,NORMAL
12646,12646,30,EMP1051,EMP1002,63234,63234,20,"10","4",0,0,2,0,NORMAL
12884,12884,30,EMP1051,EMP1002,64422,64422,20,"10","4",0,0,2,0,NORMAL
8564,8564,30,EMP1051,EMP1002,42822,42822,20,"10","4",0,0,2,0,NORMAL
11610,11610,30,EMP1051,EMP1002,58050,58050,20,"10","4",0,0,2,0,DELAY
1171,1171,30,EMP1051,EMP1002,5855,5855,30,"10","4",0,0,0,0,NORMAL
1193,1193,30,EMP1051,EMP1002,5965,5965,30,"10","4",0,0,0,0,NORMAL
793,793,30,EMP1051,EMP1002,3965,3965,30,"10","4",0,0,0,0,NORMAL
1075,1075,30,EMP1051,EMP1002,5375,5375,30,"10","4",0,0,0,0,NORMAL
52900,52900,30,EMP1046,EMP1002,264500,264500,20,"10","5",0,0,2,0,NORMAL
102462,102462,30,EMP1046,EMP1002,512313,512313,20,"10","5",0,0,2,0,NORMAL
104387,104387,30,EMP1046,EMP1002,521938,521938,20,"10","5",0,0,2,0,NORMAL
69387,69387,30,EMP1046,EMP1002,346938,346938,20,"10","5",0,0,2,0,NORMAL
94062,94062,30,EMP1046,EMP1002,470313,470313,20,"10","5",0,0,2,0,NORMAL
13466,13466,30,EMP1046,EMP1002,67333,67333,20,"10","5",0,0,2,0,NORMAL
13719,13719,30,EMP1046,EMP1002,68598,68598,20,"10","5",0,0,2,0,NORMAL
9119,9119,30,EMP1046,EMP1002,45598,45598,20,"10","5",0,0,2,0,NORMAL
12362,12362,30,EMP1046,EMP1002,61813,61813,20,"10","5",0,0,2,0,NORMAL
12646,12646,30,EMP1046,EMP1002,63234,63234,20,"10","5",0,0,2,0,NORMAL
12884,12884,30,EMP1046,EMP1002,64422,64422,20,"10","5",0,0,2,0,NORMAL
8564,8564,30,EMP1046,EMP1002,42822,42822,20,"10","5",0,0,2,0,NORMAL
11610,11610,30,EMP1046,EMP1002,58050,58050,20,"10","5",0,0,2,0,NORMAL
1171,1171,30,EMP1046,EMP1002,5855,5855,30,"10","5",0,0,0,0,NORMAL
1193,1193,30,EMP1046,EMP1002,5965,5965,30,"10","5",0,0,0,0,NORMAL
793,793,30,EMP1046,EMP1002,3965,3965,30,"10","5",0,0,0,0,NORMAL
1075,1075,30,EMP1046,EMP1002,5375,5375,30,"10","5",0,0,0,0,NORMAL
52900,52900,30,EMP1055,EMP1055,264500,264500,20,"11","6",0,0,2,0,NORMAL
102462,102462,30,EMP1055,EMP1055,512313,512313,20,"11","6",0,0,2,0,NORMAL
104387,104387,30,EMP1055,EMP1055,521938,521938,20,"11","6",0,0,2,0,NORMAL
69387,69387,30,EMP1055,EMP1055,346938,346938,20,"11","6",0,0,2,0,NORMAL
94062,94062,30,EMP1055,EMP1055,470313,470313,20,"11","6",0,0,2,0,NORMAL
13466,13466,30,EMP1055,EMP1055,67333,67333,20,"11","6",0,0,2,0,NORMAL
13719,13719,30,EMP1055,EMP1055,68598,68598,20,"11","6",0,0,2,0,NORMAL
9119,9119,30,EMP1055,EMP1055,45598,45598,20,"11","6",0,0,2,0,NORMAL
12362,12362,30,EMP1055,EMP1055,61813,61813,20,"11","6",0,0,2,0,NORMAL
12646,12646,30,EMP1055,EMP1055,63234,63234,20,"11","6",0,0,2,0,NORMAL
12884,12884,30,EMP1055,EMP1055,64422,64422,20,"11","6",0,0,2,0,NORMAL
8564,8564,30,EMP1055,EMP1055,42822,42822,20,"11","6",0,0,2,0,NORMAL
11610,11610,30,EMP1055,EMP1055,58050,58050,20,"11","6",0,0,2,0,NORMAL
1171,1171,30,EMP1055,EMP1055,5855,5855,30,"11","6",0,0,0,0,NORMAL
1193,1193,30,EMP1055,EMP1055,5965,5965,30,"11","6",0,0,0,0,NORMAL
793,793,30,EMP1055,EMP1055,3965,3965,30,"11","6",0,0,0,0,NORMAL
1075,1075,30,EMP1055,EMP1055,5375,5375,30,"11","6",0,0,0,0,NORMAL
52900,52900,30,EMP1050,EMP1051,264500,264500,20,"11","2",0,0,2,0,NORMAL
102462,102462,30,EMP1050,EMP1051,512313,512313,20,"11","2",0,0,2,0,NORMAL
104387,104387,30,EMP1050,EMP1051,521938,521938,20,"11","2",0,0,2,0,NORMAL
69387,69387,30,EMP1050,EMP1051,346938,346938,20,"11","2",0,0,2,0,NORMAL
94062,94062,30,EMP1050,EMP1051,470313,470313,20,"11","2",0,0,2,0,NORMAL
13466,13466,30,EMP1050,EMP1051,67333,67333,20,"11","2",0,0,2,0,NORMAL
13719,13719,30,EMP1050,EMP1051,68598,68598,20,"11","2",0,0,2,0,NORMAL
9119,9119,30,EMP1050,EMP1051,45598,45598,20,"11","2",0,0,2,0,NORMAL
12362,12362,30,EMP1050,EMP1051,61813,61813,20,"11","2",0,0,2,0,NORMAL
12646,12646,30,EMP1050,EMP1051,63234,63234,20,"11","2",0,0,2,0,NORMAL
12884,12884,30,EMP1050,EMP1051,64422,64422,20,"11","2",0,0,2,0,NORMAL
8564,8564,30,EMP1050,EMP1051,42822,42822,20,"11","2",0,0,2,0,NORMAL
11610,11610,30,EMP1050,EMP1051,58050,58050,20,"11","2",0,0,2,0,DELAY
1171,1171,30,EMP1050,EMP1051,5855,5855,30,"11","2",0,0,0,0,NORMAL
1193,1193,30,EMP1050,EMP1051,5965,5965,30,"11","2",0,0,0,0,NORMAL
793,793,30,EMP1050,EMP1051,3965,3965,30,"11","2",0,0,0,0,NORMAL
1075,1075,30,EMP1050,EMP1051,5375,5375,30,"11","2",0,0,0,0,NORMAL
52900,52900,30,EMP1050,EMP1002,264500,264500,20,"11","3",0,0,2,0,NORMAL
102465,102465,30,EMP1050,EMP1002,512313,512313,20,"11","3",0,0,2,0,NORMAL
104390,104390,30,EMP1050,EMP1002,521938,521938,20,"11","3",0,0,2,0,NORMAL
69390,69390,30,EMP1050,EMP1002,346938,346938,20,"11","3",0,0,2,0,NORMAL
94065,94065,30,EMP1050,EMP1002,470313,470313,20,"11","3",0,0,2,0,NORMAL
13469,13469,30,EMP1050,EMP1002,67333,67333,20,"11","3",0,0,2,0,NORMAL
13722,13722,30,EMP1050,EMP1002,68598,68598,20,"11","3",0,0,2,0,NORMAL
9122,9122,30,EMP1050,EMP1002,45598,45598,20,"11","3",0,0,2,0,NORMAL
12365,12365,30,EMP1050,EMP1002,61813,61813,20,"11","3",0,0,2,0,NORMAL
12650,12650,30,EMP1050,EMP1002,63234,63234,20,"11","3",0,0,2,0,NORMAL
12886,12886,30,EMP1050,EMP1002,64422,64422,20,"11","3",0,0,2,0,NORMAL
8566,8566,30,EMP1050,EMP1002,42822,42822,20,"11","3",0,0,2,0,NORMAL
11610,11610,30,EMP1050,EMP1002,58050,58050,20,"11","3",0,0,2,0,NORMAL
1171,1171,30,EMP1050,EMP1002,5855,5855,30,"11","3",0,0,0,0,NORMAL
1193,1193,30,EMP1050,EMP1002,5965,5965,30,"11","3",0,0,0,0,NORMAL
793,793,30,EMP1050,EMP1002,3965,3965,30,"11","3",0,0,0,0,NORMAL
1075,1075,30,EMP1050,EMP1002,5375,5375,30,"11","3",0,0,0,0,NORMAL
50387,50387,30,EMP1005,EMP1053,251938,251938,20,"11","4",0,0,2,0,NORMAL
88812,88812,30,EMP1005,EMP1053,444063,444063,20,"11","4",0,0,2,0,NORMAL
91437,91437,30,EMP1005,EMP1053,457188,457188,20,"11","4",0,0,2,0,NORMAL
64312,64312,30,EMP1005,EMP1053,321563,321563,20,"11","4",0,0,2,0,NORMAL
108150,108150,30,EMP1005,EMP1053,540750,540750,20,"11","4",0,0,2,0,NORMAL
11672,11672,30,EMP1005,EMP1053,58363,58363,20,"11","4",0,0,2,0,NORMAL
12017,12017,30,EMP1005,EMP1053,60088,60088,20,"11","4",0,0,2,0,NORMAL
8452,8452,30,EMP1005,EMP1053,42263,42263,20,"11","4",0,0,2,0,NORMAL
14214,14214,30,EMP1005,EMP1053,71070,71070,20,"11","4",0,0,2,0,NORMAL
10962,10962,30,EMP1005,EMP1053,54810,54810,20,"11","4",0,0,2,0,NORMAL
11286,11286,30,EMP1005,EMP1053,56430,56430,20,"11","4",0,0,2,0,NORMAL
7938,7938,30,EMP1005,EMP1053,39690,39690,20,"11","4",0,0,2,0,NORMAL
13348,13348,30,EMP1005,EMP1053,66744,66744,20,"11","4",0,0,2,0,NORMAL
1015,1015,30,EMP1005,EMP1053,5075,5075,30,"11","4",0,0,0,0,NORMAL
1045,1045,30,EMP1005,EMP1053,5225,5225,30,"11","4",0,0,0,0,NORMAL
735,735,30,EMP1005,EMP1053,3675,3675,30,"11","4",0,0,0,0,NORMAL
1236,1236,30,EMP1005,EMP1053,6180,6180,30,"11","4",0,0,0,0,NORMAL
50387,50387,30,EMP1006,EMP1042,251938,251938,20,"11","5",0,0,2,0,NORMAL
88812,88812,30,EMP1006,EMP1042,444063,444063,20,"11","5",0,0,2,0,NORMAL
91437,91437,30,EMP1006,EMP1042,457188,457188,20,"11","5",0,0,2,0,NORMAL
64312,64312,30,EMP1006,EMP1042,321563,321563,20,"11","5",0,0,2,0,NORMAL
108150,108150,30,EMP1006,EMP1042,540750,540750,20,"11","5",0,0,2,0,NORMAL
11672,11672,30,EMP1006,EMP1042,58363,58363,20,"11","5",0,0,2,0,NORMAL
12017,12017,30,EMP1006,EMP1042,60088,60088,20,"11","5",0,0,2,0,NORMAL
8452,8452,30,EMP1006,EMP1042,42263,42263,20,"11","5",0,0,2,0,NORMAL
14214,14214,30,EMP1006,EMP1042,71070,71070,20,"11","5",0,0,2,0,NORMAL
10962,10962,30,EMP1006,EMP1042,54810,54810,20,"11","5",0,0,2,0,NORMAL
11286,11286,30,EMP1006,EMP1042,56430,56430,20,"11","5",0,0,2,0,NORMAL
7938,7938,30,EMP1006,EMP1042,39690,39690,20,"11","5",0,0,2,0,NORMAL
13348,13348,30,EMP1006,EMP1042,66744,66744,20,"11","5",0,0,2,0,NORMAL
1015,1015,30,EMP1006,EMP1042,5075,5075,30,"11","5",0,0,0,0,NORMAL
1045,1045,30,EMP1006,EMP1042,5225,5225,30,"11","5",0,0,0,0,NORMAL
735,735,30,EMP1006,EMP1042,3675,3675,30,"11","5",0,0,0,0,NORMAL
1236,1236,30,EMP1006,EMP1042,6180,6180,30,"11","5",0,0,0,0,NORMAL
50387,50387,30,EMP1051,EMP1053,251938,251938,20,"11","6",0,0,2,0,NORMAL
88812,88812,30,EMP1051,EMP1053,444063,444063,20,"11","6",0,0,2,0,NORMAL
91437,91437,30,EMP1051,EMP1053,457188,457188,20,"11","6",0,0,2,0,NORMAL
64312,64312,30,EMP1051,EMP1053,321563,321563,20,"11","6",0,0,2,0,NORMAL
108150,108150,30,EMP1051,EMP1053,540750,540750,20,"11","6",0,0,2,0,NORMAL
11672,11672,30,EMP1051,EMP1053,58363,58363,20,"11","6",0,0,2,0,NORMAL
12017,12017,30,EMP1051,EMP1053,60088,60088,20,"11","6",0,0,2,0,NORMAL
8452,8452,30,EMP1051,EMP1053,42263,42263,20,"11","6",0,0,2,0,NORMAL
14214,14214,30,EMP1051,EMP1053,71070,71070,20,"11","6",0,0,2,0,NORMAL
10962,10962,30,EMP1051,EMP1053,54810,54810,20,"11","6",0,0,2,0,NORMAL
11286,11286,30,EMP1051,EMP1053,56430,56430,20,"11","6",0,0,2,0,NORMAL
7938,7938,30,EMP1051,EMP1053,39690,39690,20,"11","6",0,0,2,0,NORMAL
13348,13348,30,EMP1051,EMP1053,66744,66744,20,"11","6",0,0,2,0,NORMAL
1015,1015,30,EMP1051,EMP1053,5075,5075,30,"11","6",0,0,0,0,NORMAL
1045,1045,30,EMP1051,EMP1053,5225,5225,30,"11","6",0,0,0,0,NORMAL
735,735,30,EMP1051,EMP1053,3675,3675,30,"11","6",0,0,0,0,NORMAL
1236,1236,30,EMP1051,EMP1053,6180,6180,30,"11","6",0,0,0,0,NORMAL
50387,50387,30,EMP1007,EMP1051,251938,251938,20,"11","2",0,0,2,0,NORMAL
88812,88812,30,EMP1007,EMP1051,444063,444063,20,"11","2",0,0,2,0,DELAY
91437,91437,30,EMP1007,EMP1051,457188,457188,20,"11","2",0,0,2,0,NORMAL
64312,64312,30,EMP1007,EMP1051,321563,321563,20,"11","2",0,0,2,0,NORMAL
108150,108150,30,EMP1007,EMP1051,540750,540750,20,"11","2",0,0,2,0,DELAY
11672,11672,30,EMP1007,EMP1051,58363,58363,20,"11","2",0,0,2,0,DELAY
12017,12017,30,EMP1007,EMP1051,60088,60088,20,"11","2",0,0,2,0,NORMAL
8452,8452,30,EMP1007,EMP1051,42263,42263,20,"11","2",0,0,2,0,DELAY
14214,14214,30,EMP1007,EMP1051,71070,71070,20,"11","2",0,0,2,0,NORMAL
10962,10962,30,EMP1007,EMP1051,54810,54810,20,"11","2",0,0,2,0,NORMAL
11286,11286,30,EMP1007,EMP1051,56430,56430,20,"11","2",0,0,2,0,NORMAL
7938,7938,30,EMP1007,EMP1051,39690,39690,20,"11","2",0,0,2,0,NORMAL
13348,13348,30,EMP1007,EMP1051,66744,66744,20,"11","2",0,0,2,0,NORMAL
1015,1015,30,EMP1007,EMP1051,5075,5075,30,"11","2",0,0,0,0,NORMAL
1045,1045,30,EMP1007,EMP1051,5225,5225,30,"11","2",0,0,0,0,NORMAL
735,735,30,EMP1007,EMP1051,3675,3675,30,"11","2",0,0,0,0,NORMAL
1236,1236,30,EMP1007,EMP1051,6180,6180,30,"11","2",0,0,0,0,NORMAL
50390,50390,30,EMP1054,EMP1048,251938,251938,20,"11","3",0,0,2,0,NORMAL
88815,88815,30,EMP1054,EMP1048,444063,444063,20,"11","3",0,0,2,0,NORMAL
91440,91440,30,EMP1054,EMP1048,457188,457188,20,"11","3",0,0,2,0,NORMAL
64315,64315,30,EMP1054,EMP1048,321563,321563,20,"11","3",0,0,2,0,NORMAL
108150,108150,30,EMP1054,EMP1048,540750,540750,20,"11","3",0,0,2,0,NORMAL
11675,11675,30,EMP1054,EMP1048,58363,58363,20,"11","3",0,0,2,0,NORMAL
12020,12020,30,EMP1054,EMP1048,60088,60088,20,"11","3",0,0,2,0,NORMAL
8455,8455,30,EMP1054,EMP1048,42263,42263,20,"11","3",0,0,2,0,NORMAL
14214,14214,30,EMP1054,EMP1048,71070,71070,20,"11","3",0,0,2,0,NORMAL
10962,10962,30,EMP1054,EMP1048,54810,54810,20,"11","3",0,0,2,0,NORMAL
11286,11286,30,EMP1054,EMP1048,56430,56430,20,"11","3",0,0,2,0,NORMAL
7938,7938,30,EMP1054,EMP1048,39690,39690,20,"11","3",0,0,2,0,NORMAL
13352,13352,30,EMP1054,EMP1048,66744,66744,20,"11","3",0,0,2,0,NORMAL
1015,1015,30,EMP1054,EMP1048,5075,5075,30,"11","3",0,0,0,0,NORMAL
1045,1045,30,EMP1054,EMP1048,5225,5225,30,"11","3",0,0,0,0,NORMAL
735,735,30,EMP1054,EMP1048,3675,3675,30,"11","3",0,0,0,0,NORMAL
1236,1236,30,EMP1054,EMP1048,6180,6180,30,"11","3",0,0,0,0,NORMAL
55462,55462,30,EMP1047,EMP1042,277313,277313,20,"11","4",0,0,2,0,NORMAL
107712,107712,30,EMP1047,EMP1042,538563,538563,20,"11","4",0,0,2,0,NORMAL
109987,109987,30,EMP1047,EMP1042,549938,549938,20,"11","4",0,0,2,0,NORMAL
107275,107275,30,EMP1047,EMP1042,536375,536375,20,"11","4",0,0,2,0,NORMAL
63262,63262,30,EMP1047,EMP1042,316313,316313,20,"11","4",0,0,2,0,NORMAL
14156,14156,30,EMP1047,EMP1042,70783,70783,20,"11","4",0,0,2,0,NORMAL
14455,14455,30,EMP1047,EMP1042,72278,72278,20,"11","4",0,0,2,0,NORMAL
14099,14099,30,EMP1047,EMP1042,70495,70495,20,"11","4",0,0,2,0,NORMAL
8314,8314,30,EMP1047,EMP1042,41573,41573,20,"11","4",0,0,2,0,NORMAL
13294,13294,30,EMP1047,EMP1042,66474,66474,20,"11","4",0,0,2,0,NORMAL
13575,13575,30,EMP1047,EMP1042,67878,67878,20,"11","4",0,0,2,0,NORMAL
13240,13240,30,EMP1047,EMP1042,66204,66204,20,"11","4",0,0,2,0,NORMAL
7808,7808,30,EMP1047,EMP1042,39042,39042,20,"11","4",0,0,2,0,NORMAL
1231,1231,30,EMP1047,EMP1042,6155,6155,30,"11","4",0,0,0,0,NORMAL
1257,1257,30,EMP1047,EMP1042,6285,6285,30,"11","4",0,0,0,0,NORMAL
1226,1226,30,EMP1047,EMP1042,6130,6130,30,"11","4",0,0,0,0,NORMAL
723,723,30,EMP1047,EMP1042,3615,3615,30,"11","4",0,0,0,0,NORMAL
55462,55462,30,EMP1005,EMP1055,277313,277313,20,"11","5",0,0,2,0,NORMAL
107712,107712,30,EMP1005,EMP1055,538563,538563,20,"11","5",0,0,2,0,NORMAL
109987,109987,30,EMP1005,EMP1055,549938,549938,20,"11","5",0,0,2,0,NORMAL
107275,107275,30,EMP1005,EMP1055,536375,536375,20,"11","5",0,0,2,0,NORMAL
63262,63262,30,EMP1005,EMP1055,316313,316313,20,"11","5",0,0,2,0,NORMAL
14156,14156,30,EMP1005,EMP1055,70783,70783,20,"11","5",0,0,2,0,NORMAL
14455,14455,30,EMP1005,EMP1055,72278,72278,20,"11","5",0,0,2,0,NORMAL
14099,14099,30,EMP1005,EMP1055,70495,70495,20,"11","5",0,0,2,0,NORMAL
8314,8314,30,EMP1005,EMP1055,41573,41573,20,"11","5",0,0,2,0,NORMAL
13294,13294,30,EMP1005,EMP1055,66474,66474,20,"11","5",0,0,2,0,NORMAL
13575,13575,30,EMP1005,EMP1055,67878,67878,20,"11","5",0,0,2,0,NORMAL
13240,13240,30,EMP1005,EMP1055,66204,66204,20,"11","5",0,0,2,0,NORMAL
7808,7808,30,EMP1005,EMP1055,39042,39042,20,"11","5",0,0,2,0,NORMAL
1231,1231,30,EMP1005,EMP1055,6155,6155,30,"11","5",0,0,0,0,NORMAL
1257,1257,30,EMP1005,EMP1055,6285,6285,30,"11","5",0,0,0,0,NORMAL
1226,1226,30,EMP1005,EMP1055,6130,6130,30,"11","5",0,0,0,0,NORMAL
723,723,30,EMP1005,EMP1055,3615,3615,30,"11","5",0,0,0,0,NORMAL
55462,55462,30,EMP1045,EMP1042,277313,277313,20,"11","6",0,0,2,0,NORMAL
107712,107712,30,EMP1045,EMP1042,538563,538563,20,"11","6",0,0,2,0,NORMAL
109987,109987,30,EMP1045,EMP1042,549938,549938,20,"11","6",0,0,2,0,NORMAL
107275,107275,30,EMP1045,EMP1042,536375,536375,20,"11","6",0,0,2,0,DELAY
63262,63262,30,EMP1045,EMP1042,316313,316313,20,"11","6",0,0,2,0,NORMAL
14156,14156,30,EMP1045,EMP1042,70783,70783,20,"11","6",0,0,2,0,NORMAL
14455,14455,30,EMP1045,EMP1042,72278,72278,20,"11","6",0,0,2,0,NORMAL
14099,14099,30,EMP1045,EMP1042,70495,70495,20,"11","6",0,0,2,0,NORMAL
8314,8314,30,EMP1045,EMP1042,41573,41573,20,"11","6",0,0,2,0,NORMAL
13294,13294,30,EMP1045,EMP1042,66474,66474,20,"11","6",0,0,2,0,NORMAL
13575,13575,30,EMP1045,EMP1042,67878,67878,20,"11","6",0,0,2,0,NORMAL
13240,13240,30,EMP1045,EMP1042,66204,66204,20,"11","6",0,0,2,0,NORMAL
7808,7808,30,EMP1045,EMP1042,39042,39042,20,"11","6",0,0,2,0,NORMAL
1231,1231,30,EMP1045,EMP1042,6155,6155,30,"11","6",0,0,0,0,NORMAL
1257,1257,30,EMP1045,EMP1042,6285,6285,30,"11","6",0,0,0,0,NORMAL
1226,1226,30,EMP1045,EMP1042,6130,6130,30,"11","6",0,0,0,0,NORMAL
723,723,30,EMP1045,EMP1042,3615,3615,30,"11","6",0,0,0,0,NORMAL
55462,55462,30,EMP1043,EMP1051,277313,277313,20,"11","2",0,0,2,0,NORMAL
107712,107712,30,EMP1043,EMP1051,538563,538563,20,"11","2",0,0,2,0,NORMAL
109987,109987,30,EMP1043,EMP1051,549938,549938,20,"11","2",0,0,2,0,NORMAL
107275,107275,30,EMP1043,EMP1051,536375,536375,20,"11","2",0,0,2,0,NORMAL
63262,63262,30,EMP1043,EMP1051,316313,316313,20,"11","2",0,0,2,0,NORMAL
14156,14156,30,EMP1043,EMP1051,70783,70783,20,"11","2",0,0,2,0,NORMAL
14455,14455,30,EMP1043,EMP1051,72278,72278,20,"11","2",0,0,2,0,DELAY
14099,14099,30,EMP1043,EMP1051,70495,70495,20,"11","2",0,0,2,0,NORMAL
8314,8314,30,EMP1043,EMP1051,41573,41573,20,"11","2",0,0,2,0,DELAY
13294,13294,30,EMP1043,EMP1051,66474,66474,20,"11","2",0,0,2,0,NORMAL
